program_id,label_en,label_fr,org_years
BWN01,Trade and Market Expansion,Croissance du commerce et des marchés,"{""aafc-aac"": [""2026-2027""]}"
BWN02,Sector Engagement and Development,Mobilisation et développement du secteur,"{""aafc-aac"": [""2026-2027""]}"
BWN03,Farm Products Council of Canada,Conseil des produits agricoles du Canada,"{""aafc-aac"": [""2026-2027""]}"
BWN04,Supply Management Initiatives,Initiatives de gestion de l'offre,"{""aafc-aac"": [""2026-2027""]}"
BWN05,Canadian Pari-Mutuel Agency,Agence canadienne du pari mutuel,"{""aafc-aac"": [""2026-2027""]}"
BWN06,Water Infrastructure,Infrastructure hydraulique,"{""aafc-aac"": [""2020-2021""]}"
BWN07,"Federal, Provincial and Territorial Cost-shared Markets and Trade","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés aux marchés et au commerce","{""aafc-aac"": [""2026-2027""]}"
BWN08,Community Pastures,Pâturages communautaires,"{""aafc-aac"": [""2018-2019""]}"
BWN09,Food Policy Initiatives,Initiatives relatives à la politique alimentaire,"{""aafc-aac"": [""2026-2027""]}"
BWN10,Water Infrastructure Divesture,Cession des infrastructures hydrauliques,"{""aafc-aac"": [""2025-2026""]}"
BWO01,Foundational Science and Research,Science et recherche fondamentales,"{""aafc-aac"": [""2026-2027""]}"
BWO02,AgriScience,Agri-science,"{""aafc-aac"": [""2026-2027""]}"
BWO03,AgriInnovate,Agri-innover,"{""aafc-aac"": [""2026-2027""]}"
BWO04,Environment and Climate Change Programs,Programmes en matière d'environnement et de changements climatiques,"{""aafc-aac"": [""2026-2027""]}"
BWO05,Canadian Agricultural Strategic Priorities Program,Programme canadien des priorités stratégiques de l'agriculture,"{""aafc-aac"": [""2025-2026""]}"
BWO06,"Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés à la science, à la recherche, à l'innovation et à l'environnement","{""aafc-aac"": [""2026-2027""]}"
BWP01,AgriStability,Agri-stabilité,"{""aafc-aac"": [""2026-2027""]}"
BWP02,AgriInvest,Agri-investissement,"{""aafc-aac"": [""2026-2027""]}"
BWP03,AgriRecovery,Agri-relance,"{""aafc-aac"": [""2026-2027""]}"
BWP04,AgriInsurance,Agri-protection,"{""aafc-aac"": [""2026-2027""]}"
BWP05,AgriRisk,Agri-risques,"{""aafc-aac"": [""2022-2023""]}"
BWP06,Loan Guarantee Programs,Programmes de garantie de prêts,"{""aafc-aac"": [""2026-2027""]}"
BWP07,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,"{""aafc-aac"": [""2026-2027""]}"
BWP08,Pest Management,Lutte antiparasitaire,"{""aafc-aac"": [""2026-2027""]}"
BWP09,Assurance Program,Programme d'assurance,"{""aafc-aac"": [""2026-2027""]}"
BWP10,"Federal, Provincial and Territorial Cost-shared Assurance","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés à l'assurance","{""aafc-aac"": [""2026-2027""]}"
BWP11,Return of Payments,Retour de paiements,"{""aafc-aac"": [""2026-2027""]}"
BWP12,Mandatory Isolation Support for Temporary Foreign Workers Program,Programme d'aide pour l'isolement obligatoire des travailleurs étrangers temporaires,"{""aafc-aac"": [""2021-2022""]}"
BWP13,African Swine Fever Response,Intervention en cas d'éclosion de la peste porcine africaine,"{""aafc-aac"": [""2025-2026""]}"
BWP14,Livestock Price Insurance Program,Programme d'assurance des prix du bétail,"{""aafc-aac"": [""2026-2027""]}"
BWP15,Canadian Agricultural Strategic Priorities Program,Programme canadien des priorités stratégiques de l'agriculture,"{""aafc-aac"": [""2026-2027""]}"
ISS01,Management and Oversight Services,Services de gestion et de surveillance,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
