service_id,label_en,label_fr,org
SRV03563,Media enquiries,Demandes médiatiques,tc
SRV03562,"Authorization to take possession under the Wrecked, Abandoned or Hazardous Vessels Act","Autorisation de prendre possession en vertu de la Loi sur les bâtiments naufragés, abandonnés ou dangereux",tc
SRV03561,Request a Motor Vehicle Transport Act Exemption,Demander une exemption prévue par la Loi sur les transports routiers,tc
SRV03560,Report a safety defect,Signaler un défaut de sécurité,tc
SRV03559,Rescinding detention of a foreign vessel,Annuler une ordonnance de détention pour un bâtiment étranger,tc
SRV03558,Verification of Shipper's procedures,Vérification des procédures de l'Expéditeur,tc
SRV03557,Prewash Endorsement,Approbation du prélavage,tc
SRV03550,Access School bus safety information,Accès aux informations sur la sécurité des autobus scolaires,tc
SRV03549,Access Driver Assistance Technologies information,Accéder aux informations sur les technologies d'aide à la conduite,tc
SRV03548,Explosives Detection Dog and Handler Teams (EDDHT) Certification,Certification d'équipe maître et chien entraînée à la détection d’explosifs (EMCEDE),tc
SRV03547,Marine Technical Review Board Decision,Décision du Comité d'examen technique maritime,tc
SRV03546,Delegated Statutory Inspection Program (DSIP) exemption request applications received,Demandes de dérogation au Programme de Délégation des Inspections Obligatoires (PDIO) reçues,tc
SRV03545,Continuous Synopsis Records,Fiche synoptique continue,tc
SRV03544,Declarations of Conformity (DOC),Déclarations de conformité (DOC),tc
SRV03543,Manufacturer Identification Codes (MIC),Codes d'identification du fabricant (MIC),tc
SRV03542,Dispensation for a seafarer,Dispense pour un gens de mer,tc
SRV03541,Approval of ‘works’ under the Canadian Navigable Waters Act,Approbation des « ouvrages » en vertu de la Loi sur les eaux navigables canadiennes,tc
SRV03540,Access Motor Vehicle Safety Best practices information,Accéder aux informations sur les meilleures pratiques en matière de sécurité des véhicules automobiles,tc
SRV03539,Access Road Safety standards information,Accéder aux informations sur les normes de sécurité routière,tc
SRV03538,Access defect and recall information,Accéder aux informations sur les défauts et les rappels,tc
SRV03536,Ports & Marine Facilities Security Certification,Certification de sûreté des ports et des installations maritimes,tc
SRV03535,Marine Security Operations Centres : Pre-Arrival Information Report Screening,Centres des opérations de la sûreté maritime : Contrôle des rapports d'information préalables à l'arrivée,tc
SRV03533,Small Vessel Compliance Program (SVCP),Programme de conformité des petits bâtiments (PCPB),tc
SRV03532,Approval of Air Cargo Security Program Participants,Approbation des participants au Programme de sûreté du fret aérien,tc
SRV03531,Administration of the Marine War Risk Act and the agreement with the Canadian Shipowners Mutual Assurance Association,Administration de la Loi sur les risques de guerre en matière d'assurance maritime et de l'accord avec l'Association pour assurance mutuelle d'armateurs canadiens,tc
SRV03528,Air transportation merger and acquisition review and authorization process,Processus d'examen et d'autorisation des fusions et acquisitions de transport aérien,tc
SRV03527,Access National Collision Database (NCDB),Accéder à la base de données nationale sur les collisions (BNDC),tc
SRV03526,Marine Medical Certificate,Certificat médical de la marine,tc
SRV03525,TC Situation Centre (SitCen),Centre d’intervention de Transports Canada (SitCen),tc
SRV03524,Seafarer Recruitment and Placement Service (SRPS) provider licensing,Licence de service de recrutement et de placement des gens de mer (SRPGM),tc
SRV03523,Maritime Labour Convention Certificates,Certificat de travail maritime.,tc
SRV03522,Approval for a marine training program or course provided by a marine training institution,Approbation d'un programme ou d'un cours de formation maritime dispensé par un établissement d'enseignement maritime reconnu,tc
SRV03521,CANUTEC Registration system,Service à l'inscription de CANUTEC,tc
SRV03520,Canadian Transport Emergency Centre (CANUTEC) - Publication of the Emergency Response Guidebook (ERG),Centre canadien d'urgence transport (CANUTEC) - Publication du Guide des interventions d'urgence (ERG),tc
SRV03519,Canadian Transport Emergency Centre (CANUTEC),Centre canadien d’urgence transport,tc
SRV03518,Approval of Emergency Response Assistance Plans (ERAP),Approbation des plans d’intervention d’urgence (PIU),tc
SRV03516,"General Inquiries related to the TDG Program, including means of containment, regulations and legislation","Demandes de renseignements généraux concernant le programme du TMD, y compris les contenants, les règlements et les lois.",tc
SRV03515,Equivalency and Temporary Certificates,Certificats d’équivalence et certificats temporaires,tc
SRV03514,Education and Awareness,Éducation et sensibilisation,tc
SRV03513,Canadian Airline Designations and Airline Capacity Allocation,Désignations des compagnies aériennes canadiennes,tc
SRV03510,Railway Operating Certificate,Certificat d'exploitation ferroviaire,tc
SRV03509,Pleasure Craft Licence,Délivrance des permis d'embarcations de plaisance,tc
SRV03508,Exemption by Order under subsection 24(1) of the Canadian Navigable Waters Act,Exemption par décret en vertu du paragraphe 24(1) de la Loi sur les eaux navigables canadiennes,tc
SRV03507,Certificate of registration for a means of containment facility,Certificat d'enregistrement pour une installation de confinement,tc
SRV03506,Air carrier joint venture review and authorization process,Processus d'examen et d'autorisation des coentreprises de transporteurs aériens,tc
SRV03505,Access Connected and Automated Vehicles information,Accéder aux informations sur les véhicules connectés et automatisés,tc
SRV03504,Access Importation and Manufacturing protocols and guidance,Accéder aux protocoles et aux conseils d’importation et de fabrication,tc
SRV03497,Verification of outstanding deficiencies for foreign vessels,Vérification des déficiences en suspens pour les navires étrangers,tc
SRV03496,Canadian Flagged Vessels (SOLAS & Domestic Ferries) Security Certification,Certification de sûreté pour les bâtiments battant Pavillon canadien (SOLAS et traversiers intérieurs),tc
SRV03495,Dangerous Goods inspection,Inspection des marchandises dangereuses,tc
SRV03494,Cargo Inspection,Inspection des cargaisons,tc
SRV03493,Vessel Operations Restriction Regulation (VORR) Permit,Règlement sur les restrictions visant l’utilisation des bâtiments (RRVUB) permis,tc
SRV03492,Marine Insurance Certificate for a Vessel,Certificat d'assurance maritime pour un bâtiment,tc
SRV03490,Access Public Ports Facilities,Accès aux Installations des Ports Publics,tc
SRV03488,Vessel History,Historique du bâtiment,tc
SRV03487,Register a mortgage for a vessel,Enregistrer une hypothèque sur un bâtiment,tc
SRV03486,Transfer of Vessel Ownership,Transfert de propriété d'un navire,tc
SRV03485,Register a vessel,Immatriculer un bâtiment,tc
SRV03484,Identity document for a seafarer,Document d'identité pour un marin,tc
SRV03483,Search for Sea Service,Recherche de service en mer,tc
SRV03482,Certification for a seafarer,Certification des gens de mer,tc
SRV03481,Seafarer examination and/or assessment of qualification,Examen et/ou évaluation des qualifications des gens de mer,tc
SRV03479,Vessel Plan Document Review,Examen des documents du plan du bâtiment,tc
SRV03478,Safe Manning Document Review,Examen du Document d'effectifs de sécurité,tc
SRV03477,Access to Information and Privacy,Accès à l'information et protection des renseignements personnels,tc
SRV03476,Education and awareness on rail and intermodal transportation security,Éducation et sensibilisation à la sûreté du transport ferroviaire et intermodal,tc
SRV03473,Inspection on a domestic vessel,Inspection à bord d’un bâtiment canadien,tc
SRV03472,Air cargo screening equipment certification,Certification des équipements de contrôle du fret aérien,tc
SRV03471,Coasting Trade inspections : Letters of Compliance Issued,Inspections des métiers du cabotage : Lettres de conformité émises,tc
SRV03470,Annual Mobile Equipment Registration,L'enregistrement annuelle d'équipement mobile,tc
SRV03469,Emergency Response Services,Services d'intervention d'urgence,tc
SRV03468,Aircraft Landing and Flying Training,Formation à l'atterrissage et au vol d'avions,tc
SRV03467,General Terminal: Domestic and International,Accès à l'aérogare : Vols intérieurs et internationaux,tc
SRV03466,Vehicle Parking,Stationnement des véhicules,tc
SRV03465,Aircraft Parking,Stationnement des aéronefs,tc
SRV03459,"Policy, Advocacy, and Coordination","Politique, représentation et coordination",pacifican
SRV03458,Web Inquiries,Demandes de renseignements sur le Web,pacifican
SRV03457,Grants and Contribution Programs,Programmes de subventions et de contributions,pacifican
SRV03456,Tracker,Suivi,tbs-sct
SRV03455,GC Digital Talent,Talents numériques du GC,tbs-sct
SRV03454,Cyber Maturity Self-Assessment (CMSA),Autoévaluation de la cybermaturité (AECM),tbs-sct
SRV03453,Public Service Employee Survey (PSES),Sondage auprès des fonctionnaires fédéraux (SAFF),tbs-sct
SRV03452,Reaching Home (RH),Directives de Vers un chez-soi (DVC),infc
SRV03450,Canadian Heritage accessibility feedback process,Processus de rétroaction sur l'accessibilité de Patrimoine canadien,pch
SRV03449,Backcountry Avalanche Monitoring and Reporting,Surveillance et Rapport sur les Avalanches en Arrière-Pays,pc
SRV03448,Frontline Avalanche Safety and Control Service,Service de sécurité et de contrôle des avalanches en première ligne,pc
SRV03447,Copyright Services,Services des droits d'auteur,lac-bac
SRV03446,Zero Emissions Transit Fund (ZETF),Fonds pour le transport en commun à zéro émission (FTCZE),infc
SRV03445,Small Communities Fund (SCF),Fonds des petites collectivités (FPC),infc
SRV03444,Rural Transit Solutions Fund (RTSF),Fonds pour les solutions de transport en commun en milieu rural (FSTCMR),infc
SRV03443,Public Transit Infrastructure Fund (PTIF),Le Fonds pour l'infrastructure de transport en commun (FITC),infc
SRV03442,National and Regional Projects (NRP),Projets nationaux et régionaux (PNR),infc
SRV03441,Active Transportation Fund (ATF),Le Fonds pour le transport actif (FTA),infc
SRV03440,Investing in Canada Infrastructure Program (ICIP),Programme d'infrastructure Investir dans le Canada (PIIC),infc
SRV03438,Disaster Mitigation and Adaptation Fund,Fonds d'atténuation et d'adaptation en matière de catastrophes,infc
SRV03437,Clean Water and Wastewater Fund (CWWF),Le Fonds pour l'eau potable et le traitement des eaux usées (FEPTEU),infc
SRV03436,National Infrastructure Component (NIC),Volet Infrastructures nationales (VIN),infc
